valuation in MM,Name,Website,Description,Growth Score,Mindshare Score,Employee Count,Est. Monthly Uniques,Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Continent,Revenue Range,Business Models,Industries,Keywords
9562,IndiaIdeas,http://billdesk.com,"BillDesk helps consumers leverage the electronic medium to better organize and manage payments, while escaping some of the pitfalls of traditional bill payment services.",304,176,285,8709701,28,2000,Late,Clearstone Venture Partners|General Atlantic|March Capital Partners|State Bank of India|TA Associates,207500000,10/30/15,200000000,Mumbai,Mumbai,Asia,$50M - $100M,B2B|B2C,finance|payments,
9110,GreenSky Credit,http://greenskycredit.com,We make it easy for businesses of all sizes to offer credit to their customers with a fast and paperless solution.,803,219,633,25973,18,2006,Late,Fifth Third Bank|TPG Capital,200000000,9/12/16,50000000,Atlanta,Atlanta,North America,$50M - $100M,B2C,banking|finance|payments,
62671,PayPal,http://paypal.com,"PayPal is the faster, safer way to send money, make an online payment, receive money or set up a merchant account.",10968,114,21760,63348380,205,1998,Exited (ipo),Bankinter |BlueRun Ventures|Clearstone Venture Partners|Compass Technology Partners|David Sacks|Deutsche Bank|Digital Century Capital|Elon Musk|Gil Penchina|Goldman Sachs|Hikari Tsushin Group|ING Group|JP Morgan Chase & Co|Kevin Hartz|Madison Dearborn Partners|March Capital Partners|Nokia|Omnes Capital|Pejman Nozad|Peter Thiel|Qualcomm Ventures|Scott Banister|Sequoia Capital|SingTel|SingTel Innov8|TAMC|Temasek Holdings|The Capital Group|Tribeca Venture Partners|Vertex Pharmaceuticals|eBank,197000000,2/16/01,90000000,San Jose,San Jose,North America,Greater than $5B,B2B|B2C,banking|consumer services|e-commerce|finance|mobile|payments,android|p2p money transfer|payments
489593,Klarna,http://klarna.com,Pay now. Pay later. Slice it. Klarna lets you complete your online purchase in the way that suits you best. Now that's smoooth.,1730,375,1574,1281307,9,2005,Late,Atomico|Digital Sky Technologies (DST)|Filip Tysander|General Atlantic|Investment AB iresund|Jane Walerud|Lakestar|Sequoia Capital|Visa,196280000,6/27/17,,Stockholm,Stockholm,Europe,$100M - $250M,B2B|B2C,e-commerce|payments,banking|payments
2654,Upstart,http://upstart.com,Upstart is a peer-to-peer lending platform. Its proprietary underwriting model identifies high quality borrowers despite limited credit and employment experience.,425,99,167,337653,0,2012,Late,Collaborative Fund|Correlation Ventures|CrunchFund|Eric Schmidt|First Round Capital|Founders Fund|Google Ventures|Khosla Ventures|Kleiner Perkins Caufield & Byers|Marc Benioff|Mark Cuban|New Enterprise Associates|Rakuten|Scott Banister|Third Point Ventures,185650000,3/28/18,100000000,Bay Area,Palo Alto,North America,$25M - $50M,B2B|B2C|Metamediary,banking|crowdfunding|finance|payments,pioneer250
937,RetailNext,http://retailnext.net,"Analyzing more than 800 million shoppers a month across dozens of retail chains, RetailNext is the leading provider of in-store analytics.",-73,-159,239,32123,19,2007,Late,Activant Capital|American Express|American Express Ventures|August Capital|Commerce Ventures|EDBI|Nokia Growth Partners|Pereg Ventures|Qualcomm Ventures|Siguler Guff & Company|StarVest Partners|Tyco International,184400000,8/24/16,,Bay Area,San Jose,North America,$5M - $10M,B2B,advertising|analytics|marketing|marketing analytics|payments|retail,
2365,BIMA,http://bimamobile.com,"Bima is the leader in mobile-delivered insurance in emerging markets. The company offers simple, affordable life, personal accident and health insurance services. ",922,99,590,1164,3,2010,Late,Allianz X|Anders Olsson|Axiata Digital Innovation Fund|Digicel|Gustaf Agartson|Investment AB Kinnevik|Kinnevik|Leapfrog Ventures|Mathilda Strom |Millicom Systems|Stephan Wilcke,184200000,12/22/17,107000000,Stockholm,Stockholm,Europe,,B2B|B2C,finance|insurance|mobile|payments|telecommunications,
165,MobiMagic,http://mobimagic.me,MobiMagic develops an internet software platform that offers operation management services for point-of-sale software companies.,-4,0,1,86,25,,B,Frees Fund|Qihoo 360 ,180025000,2/17/16,100000000,San Diego,San Diego,North America,,B2B,e-commerce|mobile|payments,mobile commerce|payments|point of sale
113,Robinhood,http://robinhood.com,Robinhood is a mobile application that allows $0 commission stock trading. ,917,493,250,402556,10,2012,C,Aaron Levie|Andreessen Horowitz|DST Global|Dave Morin|Elefund|Google Ventures|Howard Lindzon|Index Ventures|Jared Leto|Nasir Nas Jones|New Enterprise Associates|Ribbit Capital|Rothenberg Ventures|Slow Ventures|Snoop Dogg|Social Leverage|Thrive Capital|Tim Draper,176000000,4/26/17,110000000,Palo Alto,Palo Alto,North America,$5M - $10M,B2C,banking|e-commerce|finance|information security|mobile|payments|security,pioneer250
1198071,Uncle Bob's Self Storage,http://unclebobs.com,Life Storage offers clean and secure self storage units at over 700 locations nationwide. Save 10% per month when you call or reserve online today!,-6,-6,533,255717,47,1982,Exited (ipo),,175000000,4/8/14,175000000,Williamsville,Williamsville,North America,$10M - $25M,B2B|B2C,consumer services|data storage|payments|physical storage|real estate|storage,
1888,Tradeshift,http://tradeshift.com,"Tradeshift an open platform that powers SMB to Enterprise with solutions for procurement, spend management, and business travel. We transform the way companies buy, pay, and collaborate.",204,-506,571,219857,13,2009,Late,American Express Ventures|Data Collective|HSBC|Intuit|Kite Ventures|Morten Lund|Notion Capital|Pavilion Capital|PayPal|Santander InnoVentures|Wipro|ru-Net,174000000,1/30/17,,Bay Area,San Francisco,North America,$25M - $50M,B2B,cloud computing|enterprise software|finance|payments,accounting
1253,C2FO,http://c2fo.com,Improve the financial health of your business and your gross margins with the working capital solution from C2FO. Find out more.,316,142,208,12454,0,2008,Late,Allianz|Citi Ventures|Iron Mountain|Mithril Capital Management|Mubadala|OPENAIR Equity Partners|Square Ventures|Summerhill Venture Partners|Temasek|Temasek Holdings|Tiger Global Management|Union Square Ventures|VFormation,170700000,2/27/18,100000000,Kansas City,Fairway,North America,$5M - $10M,B2B|Marketplace|SaaS,finance|hardware|payments,erp|oracle|sap
12555,Toast,http://toasttab.com,"Create the best guest experience, improve operations, and increase sales with Toast, a restaurant management and POS system built for restaurant success.",1221,183,705,61487,8,2011,C,Bessemer Venture Partners|Generation Investment Management|Google Ventures|Lead Edge Capital,164000000,7/25/17,134000000,Boston,Cambridge,North America,$1M - $5M,B2B|B2C,food & beverages|hospitality|mobile|payments,payments|point of sale|restaurants|small & medium sized business
129,Powa Technologies,http://powa.com,Powa is an international commerce specialist that creates technologies to seamlessly integrate the physical and digital world.,-78,-53,49,292369,40,2007,A,Bay Pond Partners|Wellington Management,156000000,11/7/14,80000000,London,London,Europe,$25M - $50M,B2B,e-commerce|enterprise software|mobile|payments|software development,point of sale
50222,Chrome River Technologies,http://chromeriver.com,Provides an online expense reporting and invoice automation platform designed for law firms and professional services firms.,514,107,278,64196,2,2007,Late,Bain Capital|Bain Capital Ventures|First Analysis|Great Hill Partners|The Argentum Group,155000000,1/4/18,35000000,Los Angeles,Los Angeles,North America,$10M - $25M,B2B,enterprise software|human resources hr|payments,
95,Linio,http://linio.com,"Linio, the online retail store that offers, not just the best offers on the market, but a unique, safe and secure online shopping experience.",115,158,254,834101,18,2012,Late,HV Holtzbrinck Ventures|Investment AB Kinnevik|JP Morgan Chase & Co|LIV Capital (Latin Ideas Ventures)|Northgate Capital|Rocket Internet|Summit Partners|Tengelmann Ventures,151500000,9/22/16,55000000,Mexico City,Mexico City,North America,,B2C,e-commerce|payments,
50280,Kyriba Corporation,http://kyriba.com,"Kyriba premium modular treasury & risk management solutions deliver 360 cash visibility, connectivity, supplier finance, risk management - all on a single platform.",285,-41,503,2931,6,2000,Late,BRED Banque|Bpifrance|Coface|Daher Capital|GRP Partners|Global Retail Partners|HSBC|Iris Capital|Mitsubishi UFJ Capital|Sumeru Equity Parnters|Upfront Ventures,149200000,9/27/17,45000000,New York,New York,North America,$10M - $25M,B2B|SaaS,data storage|information security|payments|security|storage,payments|risk management
403,Ebury,http://ebury.com,"Ebury works with business and organizations across Europe, providing them with greater, and faster, access to finance, while helping them to manage currency risk and strategically plan their approach to overseas payments.",597,28,612,6672,28,2009,B,83North|Angel CoFund|Basekit|Greylock Partners|Juan Lobato|Vitruvian Partners,146500000,11/18/15,83000000,London,London,Europe,$50M - $100M,B2B,banking|finance|payments,
960,Obopay,http://obopay.com,"Obopay is a global mobile payment solution company which offers mobile payment products to companies in Telecom, Finance and Retail industries",67,63,113,935,80,2005,Late,AB Global|Citigroup|Essar Communications Holdings|Nokia|ONSET Ventures|Olayan|Promethean|Qualcomm|Qualcomm Ventures|Redpoint Ventures|Richmond Global|Societe Generale Asset Management,144760181,7/25/11,8760181,Bay Area,Redwood City,North America,$25M - $50M,B2B,banking|finance|mobile|payments,
156,Bread Finance,http://getbread.com,Bread is a financial company and service allowing people to pay for their purchases over time.,144,42,60,188,7,2014,B,Bessemer Venture Partners|Menlo Ventures|RRE Ventures,140300000,8/2/17,126000000,New York,New York,North America,,Marketplace,finance|payments,
80,Raise,http://raise.com,Raise is a gift card marketplace where users can sell or buy gift cards online at a discount,120,343,198,1176915,6,2013,C,Accel Partners|Bessemer Venture Partners|Listen Ventures|New Enterprise Associates|PayPal|Pritzker Group Venture Capital,137000000,9/18/17,60000000,Chicago,Chicago,North America,$50M - $100M,,e-commerce|mobile|payments|retail,gift cards|loyalty / rewards|pioneer250
259,Taulia,http://taulia.com,"Taulia connects businesses to boost worldwide economic growth, one invoice at a time.",-45,14,210,209727,26,2009,Late,BBVA Ventures|DAG Ventures|David Wu|EDBI|Lakestar|Matrix Partners|Propel Venture Partners|QuestMark Partners|SEB Private Equity|TELUS Ventures|Trinity Ventures|Ulu Ventures|Zouk Capital,136700000,1/15/16,46000000,Bay Area,San Francisco,North America,$10M - $25M,B2B|Marketplace|SaaS,enterprise software|finance|payments,erp|oracle|sap
10627,PaySimple,http://paysimple.com,"PaySimple's unique software offers a better way to accept payments, market services, and retain customers. 15,000+ businesses of all sizes love it. See why.",-1,-38,116,340483,17,2006,Late,Providence Equity Partners|Susquehanna Growth Equity,131000000,10/21/16,115000000,Denver,Denver,North America,$1M - $5M,B2B,banking|customer support|enterprise software|finance|payments,accounting|credit cards|payments
162,Fintech,http://fintech.net,Fintech's alcohol electronic payment system allows retailers to easily pay their alcohol distributors. Learn more about our alcohol electronic payment solution to enhance your business!,329,329,90,,0,1991,B,Ashok Agarwal|DHFL|Eight Roads Ventures|IDG Ventures India|Index Ventures|LIC Housing Finance Ltd|Luminate Capital Partners|Sequoia Capital,129000000,3/6/18,20000000,Tampa,Tampa,North America,$10M - $25M,,finance|payments,
357,Fenix International,http://fenixintl.com,"Our flagship product, ReadyPay Power, is a lease-to-own solar home system (SHS) providing lighting, phone charging, TV, and radio for off-grid households.",463,91,342,310,37,2009,B,Alphamundi|ENGIE (formerly GDF SUEZ)|GVEP International|Orange Telecom|Schneider Electric|Tom Dinwoodie |Warner Phillips,126000000,1/27/15,126000000,Bay Area,San Francisco,North America,$5M - $10M,B2B,cleantech|energy|mobile|oil & gas|payments|solar power,payments|solar|sustainability
2189,MobiKwik,http://mobikwik.com,"MobiKwik is India's largest independent mobile payments network. With MobiKwik, users load money into a digital wallet and make payments at select retailers with the press of a button.",880,8,535,2410476,19,2009,C,American Express|Bipin Singh|Cisco Investments|GMO Venture Partners|Innoven Partners|MediaTek|Net1|Sequoia Capital|Tree Line Investment Management|Upasana Taku,124850000,8/26/16,40000000,Gurgaon,Gurgaon,Asia,$5M - $10M,B2B|B2C,consumer services|mobile|payments,android
1491,Yodlee,http://yodlee.com,"A technology and applications platform that leverages transaction data from over 12,500 global sources, enabling financial institutions and consumer Internet companies access to its SaaS platform for the rapid development of financial applications. It also provides customers with data analytics and market research services to empower customer and market insights based on actual behaviors.",588,6,954,435738,70,1999,Exited (acquired),Accel Partners|Bank of America|Institutional Venture Partners (IVP)|Warburg Pincus,124309780,5/9/12,8309780,Bay Area,Redwood City,North America,$50M - $100M,B2B,banking|enterprise software|finance|information security|payments|security,
128,Shyp,http://shyp.com,"Shyp allows users to snap a photo of the items theyäó»d like to ship and request a pickup via an app. A Shyp driver, called äóìHeroäó will then pick up the items within 20 minutes, pack and send them anywhere in the world using the most reliable option.",-660,-663,66,265725,0,2013,B,Antonio J. Gracias|Brian McClendon|CAA Ventures|David Marcus|Daymond John|Fresh VC|Haroon Mokhtarzada|Homebrew Ventures|John Doerr|Kleiner Perkins|Kleiner Perkins Caufield & Byers|Mihir Bhanot|Sherpa Capital|Sherpalo Ventures|Shervin Pishevar,124100000,3/27/18,62000000,Bay Area,San Francisco,North America,,B2B|B2C|Marketplace|On-Demand,consumer services|e-commerce|mobile|payments|transportation,collaborative consumption|logistics|pioneer250|shipping
